date,sma_50,sma_200,phase,crossover_date
2015-01-30,169.44569580078124,162.69001976013183,1,2014-10-16
2015-02-02,169.40414611816405,162.7670460510254,1,2014-10-16
2015-02-03,169.41654327392578,162.85513275146485,1,2014-10-16
2015-02-04,169.41003997802736,162.93732223510742,1,2014-10-16
2015-02-05,169.41958038330077,163.0245876312256,1,2014-10-16
2015-02-06,169.41007568359376,163.1112865447998,1,2014-10-16
2015-02-09,169.38776794433593,163.1926110839844,1,2014-10-16
2015-02-10,169.39291137695312,163.28928634643555,1,2014-10-16
2015-02-11,169.40731658935547,163.38404647827147,1,2014-10-16
2015-02-12,169.4785546875,163.4835107421875,1,2014-10-16
2015-02-13,169.54210906982422,163.58425498962401,1,2014-10-16
2015-02-17,169.5979312133789,163.68628715515138,1,2014-10-16
2015-02-18,169.6578839111328,163.78950744628906,1,2014-10-16
2015-02-19,169.7097280883789,163.89063194274902,1,2014-10-16
2015-02-20,169.8054586791992,164.0036962890625,1,2014-10-16
2015-02-23,169.90300354003907,164.11213661193847,1,2014-10-16
2015-02-24,170.06518371582033,164.2238861846924,1,2014-10-16
2015-02-25,170.20736145019532,164.3337432861328,1,2014-10-16
2015-02-26,170.39989379882812,164.43507705688478,1,2014-10-16
2015-02-27,170.60326141357422,164.5327256011963,1,2014-10-16
2015-03-02,170.8551431274414,164.63957794189454,1,2014-10-16
2015-03-03,171.0284912109375,164.74960792541503,1,2014-10-16
2015-03-04,171.10463836669922,164.85328384399415,1,2014-10-16
2015-03-05,171.17007385253908,164.95509239196778,1,2014-10-16
2015-03-06,171.1705728149414,165.04947875976563,1,2014-10-16
2015-03-09,171.18070251464843,165.14097297668457,1,2014-10-16
2015-03-10,171.13436645507812,165.21655166625976,1,2014-10-16
2015-03-11,171.0689309692383,165.28702850341796,1,2014-10-16
2015-03-12,171.04202575683593,165.36351501464844,1,2014-10-16
2015-03-13,171.01263000488282,165.43530097961425,1,2014-10-16
2015-03-16,171.06311798095703,165.51445556640624,1,2014-10-16
2015-03-17,171.10513671875,165.58976821899415,1,2014-10-16
2015-03-18,171.25029022216796,165.674560546875,1,2014-10-16
2015-03-19,171.41105712890624,165.75577590942382,1,2014-10-16
2015-03-20,171.5611801147461,165.84307418823244,1,2014-10-16
2015-03-23,171.64484130859375,165.92350875854493,1,2014-10-16
2015-03-24,171.736220703125,165.9952178955078,1,2014-10-16
2015-03-25,171.80312438964845,166.05334663391113,1,2014-10-16
2015-03-26,171.87132080078126,166.10935028076173,1,2014-10-16
2015-03-27,171.96761962890625,166.17009567260743,1,2014-10-16
2015-03-30,172.13635009765625,166.2469538116455,1,2014-10-16
2015-03-31,172.2313720703125,166.31380821228026,1,2014-10-16
2015-04-01,172.30707427978516,166.37696365356445,1,2014-10-16
2015-04-02,172.37818237304688,166.44099670410156,1,2014-10-16
2015-04-06,172.42232238769532,166.5049775695801,1,2014-10-16
2015-04-07,172.4760546875,166.56576484680176,1,2014-10-16
2015-04-08,172.53349212646484,166.62783935546875,1,2014-10-16
2015-04-09,172.65128509521483,166.69399795532226,1,2014-10-16
2015-04-10,172.83127655029296,166.76976066589356,1,2014-10-16
2015-04-13,172.9646939086914,166.83794395446776,1,2014-10-16
2015-04-14,173.1469696044922,166.90837135314942,1,2014-10-16
2015-04-15,173.30390380859376,166.9811572265625,1,2014-10-16
2015-04-16,173.4113427734375,167.05410415649413,1,2014-10-16
2015-04-17,173.4913638305664,167.11157402038575,1,2014-10-16
2015-04-20,173.5688690185547,167.17614570617675,1,2014-10-16
2015-04-21,173.65166870117187,167.23568786621092,1,2014-10-16
2015-04-22,173.76693145751952,167.30236198425294,1,2014-10-16
2015-04-23,173.85483154296875,167.3764663696289,1,2014-10-16
2015-04-24,173.94891204833985,167.44899719238282,1,2014-10-16
2015-04-27,173.99526245117187,167.52106384277343,1,2014-10-16
2015-04-28,174.03850677490234,167.59481506347657,1,2014-10-16
2015-04-29,174.0617562866211,167.66086875915528,1,2014-10-16
2015-04-30,174.04947448730468,167.71964340209962,1,2014-10-16
