ticker,type,exchange,start_date,end_date,trading_days,file_format,last_close,avg_close,avg_volume,avg_dollar_volume,source,gcs_available,gcs_file,file_size_bytes
NPKI,us_equity,US,1990-09-06,2025-10-17,8844.0,parquet,11.68,6.58,569662.0,3749929.0,local,False,,
NRGV,us_equity,US,,,,csv,,,,,gcs,True,NRGV_full_history.csv,117181.0
NRK,us_equity,US,2003-01-16,2025-10-17,5726.0,parquet,10.07,12.97,93308.0,1210229.0,local,False,,
NSP,us_equity,US,1997-01-29,2025-10-17,7226.0,parquet,47.11,36.19,428913.0,15522673.0,local,False,,
NTB,us_equity,US,2016-09-16,2025-10-17,2285.0,parquet,41.48,34.64,219854.0,7615201.0,local,True,NTB_full_history.csv,243223.0
NTCT,us_equity,US,1999-08-12,2025-10-17,6587.0,parquet,25.81,20.01,376310.0,7529541.0,local,False,,
NTST,us_equity,US,2020-08-13,2025-10-17,1302.0,parquet,19.02,18.71,692540.0,12958971.0,local,False,,
NUV,us_equity,US,1987-06-17,2025-10-17,9659.0,parquet,9.06,9.72,266704.0,2593469.0,local,False,,
NVCR,us_equity,US,2015-10-01,2025-10-17,2527.0,parquet,13.78,52.11,902738.0,47040911.0,local,False,,
NVDA,us_equity,US,2006-01-10,2025-11-21,5000.0,parquet,178.88,17.41,525572345.0,9152697101.0,local,False,,
NVGS,us_equity,US,2007-01-09,2025-10-17,4725.0,parquet,14.91,19.65,132851.0,2610971.0,local,False,,
NVRI,us_equity,US,1980-03-17,2025-10-17,11492.0,parquet,12.35,15.97,367652.0,5871917.0,local,False,,
NWBI,us_equity,US,,,,csv,,,,,gcs,True,NWBI_full_history.csv,833212.0
NWE,us_equity,US,2007-12-28,2025-10-17,4480.0,parquet,59.27,48.22,314177.0,15150603.0,local,False,,
NXU.DE,international,DE,2000-07-24,2025-10-17,6450.0,parquet,71.3,19.95,7878.0,157201.0,local,False,,
NYAX,us_equity,US,2022-09-21,2025-10-17,772.0,parquet,46.36,27.61,7147.0,197364.0,local,True,NYAX_full_history.csv,73956.0
OBK,us_equity,US,2018-05-08,2025-10-17,1873.0,parquet,32.84,34.73,88623.0,3077738.0,local,False,,
OCFT,us_equity,US,2019-12-13,2025-10-17,1469.0,parquet,7.55,52.7,83780.0,4415528.0,local,False,,
OI,us_equity,US,1991-12-11,2025-10-17,8524.0,parquet,12.22,19.96,1180681.0,23561013.0,local,True,OI_full_history.csv,919170.0
OLO,us_equity,US,2021-03-17,2025-09-11,1128.0,parquet,10.26,11.92,1441685.0,17190157.0,local,False,,
OM3X.DE,international,DE,2023-11-13,2025-10-17,490.0,parquet,91.51,85.57,5747.0,491777.0,local,False,,
OPFI,us_equity,US,2020-11-20,2025-10-17,1232.0,parquet,9.3,5.83,451464.0,2633816.0,local,False,,
OPRA,us_equity,US,2018-07-27,2025-10-17,1817.0,parquet,16.11,10.77,418904.0,4511580.0,local,False,,
OPT,us_equity,US,2020-10-16,2025-10-17,1257.0,parquet,3.41,5.34,19504.0,104233.0,local,False,,
ORBS,us_equity,US,2022-05-18,2025-10-17,858.0,parquet,8.66,111.68,745520.0,83262324.0,local,False,,
PACS,us_equity,US,2024-04-11,2025-10-17,382.0,parquet,12.26,20.47,788468.0,16140483.0,local,False,,
PAR,us_equity,US,,,,csv,,,,,gcs,True,PAR_full_history.csv,1034340.0
PD,us_equity,US,2019-04-11,2025-10-17,1640.0,parquet,15.52,27.94,1300966.0,36343835.0,local,False,,
PDM,us_equity,US,2010-02-10,2025-10-17,3947.0,parquet,8.16,16.49,914264.0,15077171.0,local,False,,
PDO,us_equity,US,2021-02-01,2025-10-17,1185.0,parquet,13.79,15.18,477826.0,7252869.0,local,False,,
PDX,us_equity,US,2019-01-30,2025-10-17,1690.0,parquet,22.0,16.42,160233.0,2631429.0,local,False,,
PFV.DE,international,DE,1998-11-09,2025-10-17,6895.0,parquet,155.0,87.44,19831.0,1734120.0,local,False,,
