timestamp,open,high,low,close,volume
1316304000000,1216.01,1216.01,1216.01,1216.01,1
1356393600000,1426.66,1426.66,1426.66,1426.66,1
1356998400000,1426.19,1426.19,1426.19,1426.19,1
1357084800000,1426.19,1462.43,1426.19,1462.42,3425
1357171200000,1462.42,1465.47,1455.53,1459.37,3261
1357257600000,1459.37,1467.94,1458.99,1466.47,3140
1357516800000,1464.57,1464.57,1456.62,1461.89,2915
1357603200000,1461.89,1461.89,1451.64,1457.15,3042
1357689600000,1457.15,1464.73,1457.15,1461.02,3032
1357776000000,1461.02,1472.29,1461.02,1472.12,3053
1357862400000,1472.12,1472.75,1467.58,1472.05,2928
1358121600000,1472.05,1472.05,1465.71,1470.68,3203
1358208000000,1470.67,1473.31,1463.86,1472.34,2713
1358294400000,1472.33,1473.96,1467.6,1472.63,3097
1358380800000,1472.63,1485.16,1472.63,1480.94,2757
1358899200000,1492.56,1496.13,1489.9,1494.81,2809
1358985600000,1494.81,1502.27,1489.73,1494.82,3232
1359072000000,1494.82,1503.26,1494.82,1502.96,3052
1359331200000,1502.98,1503.23,1496.33,1500.18,3243
1359417600000,1500.18,1509.35,1498.09,1507.84,3158
1359504000000,1507.58,1509.94,1500.11,1501.96,3110
1359590400000,1501.96,1504.19,1496.76,1498.11,3154
1359676800000,1498.11,1514.41,1498.11,1513.17,2609
1359936000000,1513.17,1513.17,1495.02,1495.71,2935
1360022400000,1495.71,1514.96,1495.71,1511.29,3157
1360108800000,1511.29,1512.49,1504.78,1512.12,2661
1360195200000,1511.44,1512.86,1498.63,1509.39,2814
1360281600000,1511.96,1518.31,1511.96,1517.93,2755
1360540800000,1517.93,1518.29,1513.61,1517.01,2548
1360627200000,1517.01,1522.29,1515.68,1519.43,2564
1360713600000,1519.43,1524.69,1515.93,1520.33,2917
1360800000000,1520.33,1523.14,1514.02,1521.38,2845
1360886400000,1522.06,1524.24,1514.14,1519.79,3049
1361318400000,1530.05,1530.05,1511.41,1511.95,2823
1361404800000,1511.95,1511.95,1497.29,1502.42,3111
1361491200000,1505.33,1515.64,1505.33,1515.6,3010
1369180800000,1679.564,1683.39,1648.368,1658.769,19.795
1369267200000,1658.773,1659.897,1634.363,1654.863,51.995
1369353600000,1654.888,1656.685,1652.39,1653.375,8.145
1369526400000,1652.177,1656.9,1652.177,1653.384,4.335
1369612800000,1653.384,1655.397,1645.861,1653.872,34.315
1369699200000,1653.877,1674.197,1653.672,1656.397,43.82
1369785600000,1656.37,1657.9,1639.494,1647.181,47.24
1369872000000,1647.193,1661.997,1642.186,1654.477,45.395
1369958400000,1654.489,1659.188,1628.661,1628.661,42.46
1370131200000,1631.192,1633.996,1627.998,1632.197,4.77
1370217600000,1632.177,1640.098,1622.087,1635.581,20.88
1370304000000,1635.48,1646.7,1623.173,1630.99,50.325
1370390400000,1630.876,1633,1606.47,1610.689,55.78
1370476800000,1610.689,1624.966,1597.686,1622.692,56.63
1370563200000,1622.677,1644.693,1619.17,1640.668,48.945
1370736000000,1637.698,1639.196,1635.463,1638.994,4.52
1370822400000,1638.967,1649.191,1638.461,1642.462,45.77
1370908800000,1642.494,1642.999,1622.463,1628.49,49.435
1370995200000,1628.49,1638.473,1609.962,1610.466,40.9
1371081600000,1610.674,1639.995,1597.97,1638.298,49.09
1371168000000,1638.286,1640.99,1623.475,1624.273,53.735
1371340800000,1624.892,1628.384,1624.26,1628.275,2.735
1371427200000,1628.274,1645.285,1627.462,1639.973,47.22
1371513600000,1639.992,1654.199,1637.972,1651.494,54.705
1371600000000,1651.463,1654.691,1626.162,1626.861,64.19
1371686400000,1627.068,1628.093,1583.163,1590.875,57.66
1371772800000,1590.676,1602.978,1576.486,1589.487,48.99
1371945600000,1589.979,1592.481,1584.662,1590.969,5.255
1372032000000,1590.999,1591.192,1559.677,1576.391,57.76
1372118400000,1576.364,1593.983,1564.894,1583.076,48.26
1372204800000,1583.183,1606.973,1579.361,1600.688,45.445
1372291200000,1600.673,1619.984,1600.673,1611.676,43.07
1372377600000,1611.681,1620.16,1600.186,1603.484,41.45
1372550400000,1603.478,1607.697,1603.478,1605.192,4.415
1372636800000,1605.179,1626.668,1599.663,1614.198,44.055
1372723200000,1614.182,1624.19,1606.175,1613.462,44.84
1372809600000,1613.5,1618.688,1599.96,1615.971,39.135
1372896000000,1615.961,1629.998,1614.964,1628.168,35.775
1372982400000,1628.499,1636.493,1614.16,1634.984,45.01
1373155200000,1634.168,1636.694,1633.993,1636.391,4.495
1373241600000,1636.397,1645.184,1631.974,1642.963,40.64
1373328000000,1642.993,1654.185,1641.162,1651.971,38.58
1373414400000,1651.96,1668.699,1646.667,1667.161,47.155
1373500800000,1667.171,1676.699,1665.962,1672.864,41.15
1373587200000,1672.879,1679.197,1671.368,1675.377,35.615
1373760000000,1674.862,1676.899,1674.861,1676.879,3.58
1373846400000,1676.885,1684.388,1675.862,1682.092,35.14
1373932800000,1682.099,1684.198,1671.477,1676.7,35.37
1374019200000,1676.674,1685.193,1670.676,1678.667,41.17
1374105600000,1678.697,1693.177,1676.664,1684.985,38.785
1374192000000,1685,1695.162,1680.163,1694.676,34.14
1374364800000,1695.677,1697.2,1695.66,1696.167,4.275
1374451200000,1696.169,1698.979,1690.486,1696.474,35.57
1374537600000,1696.475,1700.375,1690.991,1693.995,35.915
1374624000000,1693.976,1699.971,1682.462,1687.493,38.255
1374710400000,1687.483,1691.298,1676.68,1690.48,38.5
1374796800000,1690.462,1693.5,1675.469,1691.679,33.73
1374969600000,1691.688,1692.689,1690.973,1691.469,3.755
1375056000000,1691.469,1692.192,1681.47,1687.962,39.295
1375142400000,1687.673,1692.962,1682.169,1688.989,37.23
1375228800000,1688.968,1698.199,1684.662,1689.686,42.63
1375315200000,1689.682,1707.479,1689.461,1705.476,38.45
1375401600000,1705.483,1708.67,1699.661,1707.172,35.19
1375574400000,1706.686,1707.48,1705.166,1706.568,3.35
1375660800000,1706.573,1708.687,1702.687,1704.497,33.13
1375747200000,1704.476,1707.7,1692.998,1695.674,36.47
1375833600000,1695.671,1695.982,1684.489,1693.091,36.205
