open,high,low,close,volume,date
36.42,37.52,35.74,36.3,8683600,2024-04-23
36.63,36.79,34.42,34.97,8263000,2024-04-24
33.93,35.63,33.71,35.53,7276200,2024-04-25
35.72,36.405,35.46,36.0099983,3746600,2024-04-26
36.27,37.080002,35.995,36.56,5752900,2024-04-29
35.67,36.2,35.48,35.56,3282700,2024-04-30
35.66,37.59,35.46,36.58,5853300,2024-05-01
37.15,37.68,36.54,37.34,4385500,2024-05-02
38.73,39.47,38.5,39.24,8482800,2024-05-03
39.58,40.23,39.029999,40.11,7583000,2024-05-06
39.722,41.040001,39.722,40.54,6400700,2024-05-07
39.96,40.35,39.0099983,39.029999,8598900,2024-05-08
29.92,31.5,29.55,30.42,69953000,2024-05-09
30.91,31.98,30.56,31.45,21401900,2024-05-10
31.41,32.064999,30.95,30.96,12431900,2024-05-13
30.83,32.25,30.83,31.66,10790000,2024-05-14
32.0099983,33.127,31.55,33.0099983,8683800,2024-05-15
33.0099983,33.775,32.68,32.76,8313500,2024-05-16
32.83,32.97,32.061001,32.9,6429900,2024-05-17
32.88,33.6,32.84,33.59,6407000,2024-05-20
33.099998,33.25,32.2,32.55,9168900,2024-05-21
32.53,33.56,32.525,33.13,6975800,2024-05-22
33.09,33.2,31.59,31.97,7602300,2024-05-23
31.88,32.69,31.84,32.67,4433700,2024-05-24
32.69,33.355,32.3,32.96,6491500,2024-05-28
32.63,33.305,32.31,33.11,4354900,2024-05-29
32.92,33.34,32.695,33.15,4067200,2024-05-30
33.5,34.099998,33.07,33.62,9726500,2024-05-31
34.0,34.51,33.88,34.48,6239800,2024-06-03
34.31,35.02,33.9,35.0,6449500,2024-06-04
35.91,35.91,34.9,35.6,5451700,2024-06-05
35.4,36.12,35.315,35.64,3674600,2024-06-06
35.27,36.07,35.18,35.63,5833400,2024-06-07
35.3,35.53,34.84,34.99,4883900,2024-06-10
34.92,35.7,34.76,35.49,3826100,2024-06-11
36.47,36.605,35.875,36.029999,4725000,2024-06-12
37.049999,37.3,35.38,35.52,6325400,2024-06-13
35.32,35.79,34.885,35.099998,5713600,2024-06-14
34.86,36.24,34.41,35.9,6852500,2024-06-17
35.9,36.13,35.505,35.9,4973400,2024-06-18
35.87,36.040001,35.35,35.86,4392500,2024-06-20
35.8,36.27,35.53,36.16,8012300,2024-06-21
35.99,36.34,34.895,35.19,5627200,2024-06-24
35.25,35.44,34.62,35.43,5569400,2024-06-25
35.37,37.33,35.27,36.91,8337700,2024-06-26
36.67,37.79,36.63,37.22,5181900,2024-06-27
37.13,37.5,36.97,37.21,7546000,2024-06-28
37.11,37.13,36.37,37.060001,3638900,2024-07-01
36.75,37.76,36.47,37.14,4096600,2024-07-02
37.39,38.47,37.35,37.77,3947500,2024-07-03
37.66,38.7,37.46,38.68,4445700,2024-07-05
39.0,39.92,38.37,39.82,7845000,2024-07-08
39.91,39.99,39.0050011,39.39,5111600,2024-07-09
39.58,39.77,38.605,39.66,3863600,2024-07-10
39.63,39.89,38.43,38.52,4325100,2024-07-11
39.86,40.68,39.49,40.53,8292100,2024-07-12
40.7,41.62,40.25,41.11,6457400,2024-07-15
41.27,41.485,40.7,41.28,4620500,2024-07-16
40.48,41.029999,39.53,40.0,5135300,2024-07-17
40.07,40.725,39.56,39.79,3332800,2024-07-18
39.7,40.76,39.52,40.52,4053900,2024-07-19
40.99,41.285,40.77,41.0,3660900,2024-07-22
40.3,41.165,40.23,41.080002,4680100,2024-07-23
40.47,41.080002,39.89,39.96,3150400,2024-07-24
40.0099983,41.14,39.55,40.54,3589800,2024-07-25
41.0,41.080002,40.0,40.51,3194500,2024-07-26
40.95,41.0,40.2,40.57,6316400,2024-07-29
40.75,41.389,40.67,41.029999,5584100,2024-07-30
41.49,42.040001,41.040001,41.52,7762800,2024-07-31
40.09,41.040001,37.34,38.85,15411300,2024-08-01
38.145,39.255,37.305,39.040001,7398300,2024-08-02
36.6,37.29,35.3,36.53,13114000,2024-08-05
36.96,38.11,36.18,37.67,9997900,2024-08-06
38.11,38.7,36.07,36.18,6472100,2024-08-07
36.49,37.32,36.32,37.17,6219700,2024-08-08
37.33,37.55,36.77,37.02,4669700,2024-08-09
37.14,37.9,36.91,37.32,5298400,2024-08-12
38.45,39.68,38.049999,38.75,6551100,2024-08-13
38.86,39.19,38.645,39.09,3691600,2024-08-14
39.68,40.62,39.22,40.5,5084800,2024-08-15
40.3,41.17,40.24,40.59,6136600,2024-08-16
40.54,40.87,39.72,40.86,6661500,2024-08-19
40.5,40.74,39.72,40.54,11753200,2024-08-20
40.68,43.49,40.67,43.35,11870200,2024-08-21
43.45,44.029999,43.14,43.36,8955100,2024-08-22
43.6,44.425,43.28,44.16,6266500,2024-08-23
44.049999,44.48,43.71,43.94,4192800,2024-08-26
43.27,44.22,43.09,44.16,5312000,2024-08-27
44.16,44.51,43.73,44.13,4182700,2024-08-28
44.45,44.85,43.445,43.57,4613800,2024-08-29
43.72,44.49,43.59,43.99,5261600,2024-08-30
43.88,44.029999,42.485,42.92,5256700,2024-09-03
42.78,43.88,42.61,43.26,3111900,2024-09-04
43.060001,43.8,43.02,43.71,3008200,2024-09-05
44.8,44.96,42.325,43.64,6199000,2024-09-06
44.12,45.0,43.195,43.62,6759300,2024-09-09
43.83,44.9,43.645,44.9,4463800,2024-09-10
44.37,45.07,43.84,44.99,6618600,2024-09-11
45.0099983,46.0,44.53,45.41,5292200,2024-09-12
45.44,46.12,45.28,45.87,4713200,2024-09-13
45.82,47.495,45.64,46.24,8226600,2024-09-16
46.42,46.98,45.52,45.74,5190900,2024-09-17
45.75,46.14,45.11,45.28,6325400,2024-09-18
46.15,46.845,45.66,46.3,7080300,2024-09-19
45.99,46.56,45.54,46.029999,7791400,2024-09-20
46.26,46.44,45.099998,45.53,9134800,2024-09-23
45.31,47.21,45.17,47.11,9528700,2024-09-24
47.45,48.43,47.26,47.64,7828400,2024-09-25
47.81,47.93,44.61,44.87,7966000,2024-09-26
44.63,45.049999,43.76,44.18,6093700,2024-09-27
44.080002,44.64,43.9,44.26,4186700,2024-09-30
44.38,44.46,42.86,43.53,4922700,2024-10-01
43.32,43.85,42.88,43.39,6515300,2024-10-02
43.0099983,43.32,41.81,42.18,7790200,2024-10-03
42.64,42.702,40.88,41.99,8198900,2024-10-04
41.81,41.94,41.27,41.39,6662800,2024-10-07
37.65,40.52,37.5,40.51,30320600,2024-10-08
40.61,42.365,40.56,41.74,10691300,2024-10-09
