open,high,low,close,volume,date
17.13,17.82,17.049999,17.62,6961300,2024-04-23
17.67,17.89,17.08,17.31,7318100,2024-04-24
16.89,17.26,16.57,17.12,7145600,2024-04-25
17.12,17.9,16.92,17.88,8203900,2024-04-26
17.71,18.29,17.3,17.34,8431500,2024-04-29
17.14,17.3,16.47,16.49,8986300,2024-04-30
16.43,17.35,16.31,16.65,8903500,2024-05-01
16.93,17.63,16.76,17.61,7544700,2024-05-02
17.88,18.135,17.63,17.95,9478800,2024-05-03
17.63,18.46,17.48,17.78,18716900,2024-05-06
17.75,18.26,17.67,17.99,12486200,2024-05-07
17.6,17.938,17.37,17.85,23043800,2024-05-08
19.042,19.47,17.040001,17.3,51207400,2024-05-09
17.42,17.69,16.22,16.23,24466200,2024-05-10
16.62,17.61,16.57,16.89,24385600,2024-05-13
17.77,18.67,17.65,18.02,33654500,2024-05-14
18.35,18.58,17.57,18.52,19468500,2024-05-15
18.41,19.24,17.86,17.9,22141600,2024-05-16
18.96,20.34,18.45,20.09,53207400,2024-05-17
19.94,20.89,19.53,20.84,25792900,2024-05-20
21.040001,21.21,20.41,20.96,20960700,2024-05-21
20.9,21.030001,19.59,19.66,20978600,2024-05-22
19.92,19.94,19.115,19.24,17758100,2024-05-23
19.3,20.565,19.066999,20.51,20838300,2024-05-24
20.618,20.99,20.049999,20.47,18147600,2024-05-28
20.75,21.14,20.27,21.084999,23053100,2024-05-29
21.3,22.26,20.91,21.84,36228900,2024-05-30
21.91,22.34,20.165,20.9,31219300,2024-05-31
21.9,22.4,20.73,21.28,26098100,2024-06-03
21.040001,21.625,20.66,20.78,17412400,2024-06-04
21.0,21.59,20.39,21.57,14410400,2024-06-05
22.25,23.25,21.744,22.97,40881200,2024-06-06
22.52,23.69,22.145,22.18,24723100,2024-06-07
22.1,23.525,22.059999,23.42,17959500,2024-06-10
22.832,23.305,22.13,23.22,14472800,2024-06-11
24.0,24.28,23.53,23.7,21351400,2024-06-12
23.69,23.74,22.92,23.31,13045800,2024-06-13
23.1,23.57,22.36,22.42,13059600,2024-06-14
22.32,22.72,21.7,22.25,13998300,2024-06-17
21.97,22.22,21.8,21.86,10181100,2024-06-18
22.0,22.07,21.18,21.73,13386600,2024-06-20
21.52,22.33,21.25,22.29,21034100,2024-06-21
21.85,22.33,20.88,21.37,19032600,2024-06-24
21.48,22.285,21.22,22.14,12242500,2024-06-25
22.68,23.33,22.22,22.31,19146100,2024-06-26
22.44,22.791,22.27,22.59,7318600,2024-06-27
22.64,23.084999,22.34,22.71,11668100,2024-06-28
22.82,23.13,22.43,22.79,11188200,2024-07-01
22.635,22.8,22.07,22.46,9492200,2024-07-02
22.45,23.129,22.45,22.89,7631200,2024-07-03
22.08,22.74,21.72,22.68,9400900,2024-07-05
22.72,22.88,21.91,22.09,10579900,2024-07-08
22.25,23.27,22.15,22.6,12158900,2024-07-09
22.71,22.87,22.08,22.32,12625300,2024-07-10
22.65,22.98,21.98,22.040001,13151500,2024-07-11
22.0,22.445,21.75,22.28,10380700,2024-07-12
23.0,24.01,22.76,23.94,20401700,2024-07-15
24.059999,24.81,23.35,24.63,23046700,2024-07-16
24.13,24.88,23.57,24.18,14124900,2024-07-17
24.22,24.45,22.66,22.83,14304700,2024-07-18
22.94,23.87,22.8,23.41,9348400,2024-07-19
23.24,24.02,23.094999,23.42,16691400,2024-07-22
23.23,23.4,22.82,22.87,10292600,2024-07-23
22.66,22.906,21.36,21.41,13153100,2024-07-24
21.16,21.785,20.63,21.18,9131000,2024-07-25
21.59,21.985,21.125,21.2,8362500,2024-07-26
21.56,21.84,20.95,21.18,8115100,2024-07-29
21.3,21.35,20.29,20.4,11020800,2024-07-30
20.84,21.208,20.53,20.57,9201900,2024-07-31
20.89,21.3,19.83,20.24,13110700,2024-08-01
19.2,19.29,17.69,17.88,30564500,2024-08-02
14.7,16.725,13.98,16.42,44991100,2024-08-05
17.030001,17.52,16.25,17.21,22515100,2024-08-06
17.6,17.64,16.86,17.12,32590300,2024-08-07
17.665,18.1,16.68,17.73,48790500,2024-08-08
